Rk,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT
1,Gonzaga ,WCC,26-0,38.05,126.8,88.8,74.8
2,Michigan ,B10,20-4,32.22,120.1,87.9,66.8
3,Illinois ,B10,23-6,32.04,119.7,87.6,70.7
4,Baylor ,B12,22-2,30.93,124,93,68.4
5,Iowa ,B10,21-8,30.33,124.2,93.9,70
6,Houston ,Amer,24-3,30.25,119.6,89.4,64.9
7,Ohio St. ,B10,21-9,26.85,123,96.1,67.1
8,Alabama ,SEC,24-6,26.42,112.4,86,73.9
9,Loyola Chicago ,MVC,24-4,25.18,111.1,85.9,64.2
10,Wisconsin ,B10,17-12,24.08,113.2,89.1,64.9
11,Virginia ,ACC,18-6,24.08,116.3,92.3,60.1
12,Villanova ,BE,16-6,24.05,119.3,95.3,65.1
13,Purdue ,B10,18-9,23.7,114.3,90.6,66.5
14,USC ,P12,22-7,23.65,113.6,89.9,67.3
15,Florida St. ,ACC,16-6,23.5,117.1,93.6,70.6
16,Connecticut ,BE,15-7,23.33,114.3,90.9,66
17,Colorado ,P12,22-8,23.11,115.1,92,66.4
18,Arkansas ,SEC,22-6,22.96,112.2,89.2,73.1
19,Creighton ,BE,20-8,22.73,115.6,92.8,69.1
20,San Diego St. ,MWC,23-4,22.72,111.5,88.8,66.1
21,Tennessee ,SEC,18-8,22.49,109.5,87,67.3
22,Kansas ,B12,20-8,22.46,110.3,87.9,68.3
23,Texas Tech ,B12,17-10,22.38,113.1,90.7,65.4
24,BYU ,WCC,20-6,22.37,113.8,91.4,68
25,St. Bonaventure ,A10,16-4,22.25,112,89.8,65.2
26,Texas ,B12,19-7,22.01,114.5,92.5,69.2
27,West Virginia ,B12,18-9,21.75,116.8,95.1,69.6
28,North Carolina ,ACC,18-10,21.52,110.8,89.3,71.8
29,LSU ,SEC,18-9,21.02,120.5,99.4,70.8
30,Oklahoma St. ,B12,20-8,20.2,110.8,90.6,72
31,Maryland ,B10,16-13,20.15,111.6,91.5,65.3
32,Georgia Tech ,ACC,17-8,19.98,114,94.1,67.8
33,Duke,ACC,13-11,19.61,115.5,95.9,68.9
34,Rutgers ,B10,15-11,19.57,109.3,89.8,67.8
35,Penn St.,B10,14-Nov,19.55,113.4,93.8,69.4
36,Oregon ,P12,20-6,19.11,115.1,96,67.2
37,Florida ,SEC,14-9,18.98,111.7,92.7,68.7
38,Memphis,Amer,16-8,18.12,104.2,86,72.1
39,Oklahoma ,B12,15-10,18.07,112.1,94.1,67.7
40,Utah St. ,MWC,20-8,17.94,106.4,88.5,68.9
41,Syracuse ,ACC,16-9,17.66,114.5,96.9,69.2
42,Clemson ,ACC,16-7,17.59,107.6,90,64.2
43,Arizona,P12,17-9,17.37,114.1,96.7,68
44,UCLA ,P12,17-9,17.35,114.1,96.8,64.7
45,VCU ,A10,19-7,17.34,106.2,88.8,69.8
46,Indiana,B10,15-Dec,17.24,110,92.8,66.2
47,Saint Louis,A10,14-6,16.97,111.6,94.7,67.8
48,Mississippi,SEC,16-11,16.77,107.1,90.3,65.1
49,Kentucky,SEC,16-Sep,16.66,108.9,92.2,68.4
50,Virginia Tech ,ACC,15-6,16.65,110.7,94.1,66.2
51,Missouri ,SEC,16-9,16.58,110.9,94.4,68.7
52,Seton Hall,BE,14-13,16.25,111.1,94.8,66.8
53,Drake ,MVC,25-4,16.07,114.6,98.6,66.8
54,Louisville,ACC,13-7,15.53,108.5,93,66
55,Georgetown ,BE,13-12,15.49,108.4,92.9,69.6
56,Michigan St. ,B10,15-12,15.44,107.7,92.2,68.6
57,Davidson,A10,13-8,15.41,114.9,99.5,62.9
58,Minnesota,B10,14-15,15.38,109.4,94,70.3
59,SMU,Amer,5-Nov,15.27,110.2,95,69
60,Boise St.,MWC,18-8,14.99,109.8,94.8,69.4
61,Xavier,BE,13-8,14.72,111.4,96.7,68.2
62,Toledo,MAC,21-8,14.62,115.6,101,69.1
63,Colorado St.,MWC,18-6,14.46,108.6,94.2,69.5
64,Auburn,SEC,13-14,14.45,112,97.6,71.3
65,Richmond,A10,13-8,14.22,111.4,97.1,68.9
66,Wright St.,Horz,18-6,14.2,109.3,95.1,71.4
67,St. John's,BE,16-11,14.15,111.9,97.8,73.6
68,Buffalo,MAC,16-8,13.81,108,94.2,73.6
